Class,Precision,Recall,mAP@0.5,mAP@0.5-0.95
beauty_blender,0.9611231125755325,0.9375,0.9855263157894738,0.7591865252525252
lip_balm,0.866288166478453,0.9969428830951965,0.967974358974359,0.7384151390922994
lip_gloss,0.7462087055744444,0.7111111111111111,0.7926808445824995,0.47148501512903673
eyelash_curler,0.8536253545291075,0.7142857142857143,0.7446041666666666,0.49615073611111116
setting_spray,0.5823384797137013,0.8,0.7352185792349726,0.5729002732240436
concealer,1.0,0.6436563437404508,0.713314344575386,0.4770286046878226
highlighter,0.5364407785023678,0.86,0.7059545454980402,0.5541828307573315
bronzer,0.5661535392649556,0.6875,0.6851932673014864,0.5237249952569554
primer,0.6842888568293143,0.6521739130434783,0.6652351388186837,0.5494694022327987
blush,0.8365803841261525,0.5300056479441859,0.6106494539204976,0.45832250814853354
nail_polish,0.6114988261739627,0.6578947368421053,0.5840158009304943,0.35635501552102683
lip_stick,0.6172023965210073,0.6092297321720189,0.5678669613567077,0.3086493808934296
foundation,0.5094105879320024,0.5882352941176471,0.5142039667732764,0.4053557905052658
powder,0.5489793491064112,0.6142851479149595,0.4676228571428572,0.31561222857142857
lip_liner,0.38902718275834375,0.7222222222222222,0.4585875882805105,0.30627124727113675
mascara,0.37621928886503986,0.5484695142844622,0.4410608664155316,0.3129842016806722
eye_shadow,0.5029654638488826,0.41007194244604317,0.4225893713556737,0.33264563597297814
brush,0.48385396484262083,0.5,0.37291312460149667,0.25375548211746557
eye_liner,0.3220936293497958,0.26820167042821413,0.2250725195047577,0.08915120432630179
