epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.378,1.23453,3.16324,1.46077,0.34652,0.29415,0.27679,0.17333,1.2498,2.28734,1.39921,0.000144406,0.000144406,0.000144406
2,170.943,1.17676,2.23232,1.38094,0.31326,0.29544,0.28219,0.17217,1.26726,2.26321,1.45297,0.000283676,0.000283676,0.000283676
3,253.707,1.202,2.11424,1.40299,0.32227,0.40078,0.3432,0.20872,1.33722,2.29169,1.5025,0.000417203,0.000417203,0.000417203
4,334.205,1.18409,2.01567,1.39485,0.41891,0.42,0.37729,0.23279,1.23605,2.34686,1.42371,0.000409161,0.000409161,0.000409161
5,415.566,1.15375,1.87223,1.38084,0.39069,0.46188,0.40948,0.26326,1.22465,1.88557,1.41085,0.000400548,0.000400548,0.000400548
6,501.405,1.13427,1.80224,1.36105,0.43328,0.41357,0.39333,0.2358,1.30099,2.22514,1.48417,0.000391935,0.000391935,0.000391935
7,581.287,1.10579,1.68358,1.34081,0.40456,0.41696,0.42244,0.26985,1.18471,1.87756,1.36974,0.000383322,0.000383322,0.000383322
8,664.198,1.0626,1.62197,1.31392,0.43989,0.52088,0.4636,0.30624,1.16488,1.92353,1.35741,0.000374709,0.000374709,0.000374709
9,745.305,1.0643,1.54943,1.31852,0.41331,0.51844,0.46296,0.29935,1.21662,2.0269,1.39429,0.000366096,0.000366096,0.000366096
10,825.968,1.03976,1.43997,1.29291,0.4965,0.50691,0.48679,0.32323,1.17356,1.80031,1.34931,0.000357483,0.000357483,0.000357483
11,907.515,1.03425,1.4413,1.29895,0.43388,0.51137,0.49647,0.32502,1.18298,1.84285,1.36086,0.00034887,0.00034887,0.00034887
12,988.581,1.00357,1.36514,1.2714,0.59749,0.50504,0.55869,0.37232,1.16909,1.76867,1.37885,0.000340257,0.000340257,0.000340257
13,1070.8,0.9964,1.32081,1.26688,0.51329,0.55073,0.52044,0.3479,1.17351,1.78093,1.36366,0.000331644,0.000331644,0.000331644
14,1151.54,0.98755,1.28823,1.2677,0.52942,0.54618,0.51745,0.34071,1.15845,1.82318,1.35323,0.000323031,0.000323031,0.000323031
15,1233.04,0.96728,1.23074,1.24876,0.50887,0.56594,0.52483,0.35312,1.15548,1.84798,1.34817,0.000314418,0.000314418,0.000314418
16,1314.64,0.93503,1.17754,1.23094,0.57832,0.52684,0.53175,0.35613,1.14839,2.00929,1.34996,0.000305805,0.000305805,0.000305805
